application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
IntelliJ IDEA,macOS,⌘+&,Extend selection,Extend selection,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+',Shrink selection,Shrink selection,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+Q,Context info,Context info,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+↩,Show intention actions and quick-fixes,Show intention actions and quick-fixes,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+L,Reformat code,Reformat code,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+⌘+O,Optimize imports,Optimize imports,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+⌘+I,Auto-indent line(s),Auto-indent line(s),General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,),Indent selected lines,Indent selected lines,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"""",Unindent selected lines,Unindent selected lines,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+X,Cut current line to clipboard,Cut current line to clipboard,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+C,Copy current line to clipboard,Copy current line to clipboard,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+V,Paste from clipboard,Paste from clipboard,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+V,Paste from recent buffers...,Paste from recent buffers...,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+D,Duplicate current line,Duplicate current line,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+Y,Delete line at caret,Delete line at caret,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+J,Smart line join,Smart line join,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+↩,Smart line split,Smart line split,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,↩,Start new line,Start new line,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+U,Toggle case for word at caret or selected block,Toggle case for word at caret or selected block,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+[,Select till code block end,Select till code block end,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+],Select till code block start,Select till code block start,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+Delete,Delete to word end,Delete to word end,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+Backspace,Delete to word start,Delete to word start,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘++,Expand code block,Expand code block,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+-,Collapse code block,Collapse code block,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+""+",Expand all,Expand all,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+""-",Collapse all,Collapse all,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+W,Close active editor tab,Close active editor tab,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,F5,Copy,Copy,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,F6,Move,Move,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+Delete,Safe Delete,Safe Delete,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+F6,Rename,Rename,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+T,Refactor this,Refactor this,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F6,Change Signature,Change Signature,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+N,Inline,Inline,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+M,Extract Method,Extract Method,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+V,Extract Variable,Extract Variable,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+F,Extract Field,Extract Field,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+C,Extract Constant,Extract Constant,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+P,Extract Parameter,Extract Parameter,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+O,Go to class,Go to class,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+O,Go to file,Go to file,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+O,Go to symbol,Go to symbol,General,100.0,simple_ai_claude
