application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
VS Code,Windows,Ctrl+Shift+[,Fold (collapse) region,Fold (collapse) region,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+],Unfold (uncollapse) region,Unfold (uncollapse) region,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+[,Fold (collapse) all subregions,Fold (collapse) all subregions,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+],Unfold (uncollapse) all subregions,Unfold (uncollapse) all subregions,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+0,Fold (collapse) all regions,Fold (collapse) all regions,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+J,Unfold (uncollapse) all regions,Unfold (uncollapse) all regions,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+C,Add line comment,Add line comment,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+U,Remove line comment,Remove line comment,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+/,Toggle line comment,Toggle line comment,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+A,Toggle block comment,Toggle block comment,General,100.0,simple_ai_claude
VS Code,Windows,Alt+Z,Toggle word wrap,Toggle word wrap,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+T,Show all Symbols,Show all Symbols,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+G,Go to Line...,Go to Line...,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+P,Go to File...,Go to File...,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+O,Go to Symbol...,Go to Symbol...,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+M,Show Problems panel,Show Problems panel,General,100.0,simple_ai_claude
VS Code,Windows,F8,Go to next error or warning,Go to next error or warning,General,100.0,simple_ai_claude
VS Code,Windows,Shift+F8,Go to previous error or warning,Go to previous error or warning,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Tab,Navigate editor group history,Navigate editor group history,General,100.0,simple_ai_claude
VS Code,Windows,Alt+← / →,Go back / forward,Go back / forward,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+M,Toggle Tab moves focus,Toggle Tab moves focus,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+F,Find,Find,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+H,Replace,Replace,General,100.0,simple_ai_claude
VS Code,Windows,F3 / Shift+F3,Find next/previous,Find next/previous,General,100.0,simple_ai_claude
VS Code,Windows,Alt+Enter,Select all occurences of Find match,Select all occurences of Find match,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+D,Add selection to next Find match,Add selection to next Find match,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+D,Move last selection to next Find match,Move last selection to next Find match,General,100.0,simple_ai_claude
VS Code,Windows,Alt+C / R / W,Toggle case-sensitive / regex / whole word,Toggle case-sensitive / regex / whole word,General,100.0,simple_ai_claude
VS Code,Windows,Alt+Click,Insert cursor,Insert cursor,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Alt+↑ / ↓,Insert cursor above / below,Insert cursor above / below,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+U,Undo last cursor operation,Undo last cursor operation,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+I,Insert cursor at end of each line selected,Insert cursor at end of each line selected,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+L,Select current line,Select current line,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+L,Select all occurrences of current selection,Select all occurrences of current selection,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+F2,Select all occurrences of current word,Select all occurrences of current word,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+→,Expand selection,Expand selection,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+←,Shrink selection,Shrink selection,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+(drag mouse),Column (box) selection,Column (box) selection,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Alt+(arrow key),Column (box) selection,Column (box) selection,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Alt+PgUp/PgDn,Column (box) selection page up/down,Column (box) selection page up/down,General,100.0,simple_ai_claude
VS Code,Windows,"Ctrl+Space, Ctrl+I",Trigger suggestion,Trigger suggestion,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Space,Trigger parameter hints,Trigger parameter hints,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+F,Format document,Format document,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+F,Format selection,Format selection,General,100.0,simple_ai_claude
VS Code,Windows,F12,Go to Definition,Go to Definition,General,100.0,simple_ai_claude
VS Code,Windows,Alt+F12,Peek Definition,Peek Definition,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K F12,Open Definition to the side,Open Definition to the side,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+.,Quick Fix,Quick Fix,General,100.0,simple_ai_claude
VS Code,Windows,Shift+F12,Show References,Show References,General,100.0,simple_ai_claude
VS Code,Windows,F2,Rename Symbol,Rename Symbol,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+X,Trim trailing whitespace,Trim trailing whitespace,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K M,Change file language,Change file language,General,100.0,simple_ai_claude
VS Code,Windows,"Ctrl+F4, Ctrl+W",Close editor,Close editor,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K F,Close folder,Close folder,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+\,Split editor,Split editor,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+1 / 2 / 3,"Focus into 1st, 2nd or 3rd editor group","Focus into 1st, 2nd or 3rd editor group",General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+←/→,Focus into previous/next editor group,Focus into previous/next editor group,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+PgUp / PgDn,Move editor left/right,Move editor left/right,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K ←/→,Move active editor group,Move active editor group,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+N,New File,New File,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+O,Open File...,Open File...,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+S,Save,Save,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+S,Save As...,Save As...,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K S,Save All,Save All,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+F4,Close,Close,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+W,Close All,Close All,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+T,Reopen closed editor,Reopen closed editor,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Enter,Keep preview mode editor open,Keep preview mode editor open,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Tab,Open next,Open next,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Tab,Open previous,Open previous,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K P,Copy path of active file,Copy path of active file,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K R,Reveal active file in Explorer,Reveal active file in Explorer,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K O,Show active file in new window/instance,Show active file in new window/instance,General,100.0,simple_ai_claude
VS Code,Windows,F11,Toggle full screen,Toggle full screen,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+0,Toggle editor layout (horizontal/vertical),Toggle editor layout (horizontal/vertical),General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+=/-,Zoom in/out,Zoom in/out,General,100.0,simple_ai_claude
