application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
macOS,macOS,"Command-Comma (,)",Open preferences for the front app,Open preferences for the front app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Power button,Turn on your Mac or wake it from sleep,Turn on your Mac or wake it from sleep,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-Power button,Put your Mac to sleep,Put your Mac to sleep,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-Media Eject,Put your Mac to sleep,Put your Mac to sleep,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Shift-Power button,Put your displays to sleep,Put your displays to sleep,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Shift-Media Eject,Put your displays to sleep,Put your displays to sleep,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Power button,"Display a dialog asking whether you want to restart, sleep, or shut down","Display a dialog asking whether you want to restart, sleep, or shut down",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Media Eject,"Display a dialog asking whether you want to restart, sleep, or shut down","Display a dialog asking whether you want to restart, sleep, or shut down",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Command-Power button,"Force your Mac to restart, without prompting to save any open and unsaved documents","Force your Mac to restart, without prompting to save any open and unsaved documents",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Command-Media Eject,"Quit all apps, then restart your Mac","Quit all apps, then restart your Mac",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Option-Command-Power button,"Quit all apps, then shut down your Mac","Quit all apps, then shut down your Mac",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Option-Command-Media Eject,"Quit all apps, then shut down your Mac","Quit all apps, then shut down your Mac",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Command-Q,Immediately lock your screen,Immediately lock your screen,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-Q,Log out of your macOS user account,Log out of your macOS user account,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Shift-Command-Q,Log out of your macOS user account immediately without confirming,Log out of your macOS user account immediately without confirming,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-D,Duplicate the selected files,Duplicate the selected files,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-E,Eject the selected disk or volume,Eject the selected disk or volume,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-F,Start a Spotlight search in the Finder window,Start a Spotlight search in the Finder window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-I,Show the Get Info window for a selected file,Show the Get Info window for a selected file,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-R,"(1) Show the original file for the selected alias, (2) Refresh or reload the page in some apps, (3) Check for software updates again in Software Update preferences","(1) Show the original file for the selected alias, (2) Refresh or reload the page in some apps, (3) Check for software updates again in Software Update preferences",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-C,Open the Computer window,Open the Computer window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-D,Open the desktop folder,Open the desktop folder,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-F,"Open the Recents window, showing all of the files you viewed or changed recently","Open the Recents window, showing all of the files you viewed or changed recently",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-G,Open a Go to Folder window,Open a Go to Folder window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-H,Open the Home folder of the current macOS user account,Open the Home folder of the current macOS user account,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-I,Open iCloud Drive,Open iCloud Drive,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-K,Open the Network window,Open the Network window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-L,Open the Downloads folder,Open the Downloads folder,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-N,Create a new folder,Create a new folder,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-O,Open the Documents folder,Open the Documents folder,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-P,Show or hide the Preview pane in Finder windows,Show or hide the Preview pane in Finder windows,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-R,[No description provided],[No description provided],General,100.0,simple_ai_claude,001,20260111_122012
